Date,Open,High,Low,Close,Adj Close,Volume
2014-09-01,92.699997,99.699997,86.620003,88.849998,88.849998,506294400
2014-10-01,88.699997,100.669998,82.809998,98.599998,98.599998,442028900
2014-11-01,99.669998,120.000000,99.050003,111.639999,111.639999,773418800
2014-12-01,110.019997,111.680000,101.199997,103.940002,103.940002,355382700
2015-01-01,104.239998,105.339996,87.360001,89.080002,89.080002,379702000
2015-02-01,91.129997,91.879997,83.879997,85.120003,85.120003,254007500
2015-03-01,85.000000,87.040001,80.029999,83.239998,83.239998,389178100
2015-04-01,83.370003,87.690002,80.440002,81.290001,81.290001,337200600
2015-05-01,81.029999,95.059998,77.769997,89.320000,89.320000,457293200
2015-06-01,90.089996,91.599998,80.800003,82.269997,82.269997,248041200
2015-07-01,82.599998,85.379997,76.209999,78.339996,78.339996,255413600
2015-08-01,78.199997,80.989998,58.000000,66.120003,66.120003,381320300
2015-09-01,64.379997,68.080002,57.200001,58.970001,58.970001,455445000
2015-10-01,59.500000,84.440002,58.200001,83.830002,83.830002,387890900
2015-11-01,83.519997,86.419998,75.639999,84.080002,84.080002,466058900
2015-12-01,83.769997,85.820000,78.989998,81.269997,81.269997,313918900
2016-01-01,78.180000,78.680000,65.339996,67.029999,67.029999,350907700
2016-02-01,66.500000,70.580002,59.250000,68.809998,68.809998,314557500
2016-03-01,70.019997,79.839996,69.860001,79.029999,79.029999,231368600
2016-04-01,78.239998,81.779999,75.660004,76.940002,76.940002,215883400
2016-05-01,76.889999,82.029999,74.120003,82.000000,82.000000,376897900
2016-06-01,82.000000,82.000000,73.300003,79.529999,79.529999,375743600
2016-07-01,79.120003,85.000000,77.680000,82.480003,82.480003,205205900
2016-08-01,82.790001,98.860001,82.589996,97.190002,97.190002,450586700
2016-09-01,97.300003,109.870003,97.000000,105.790001,105.790001,420599700
2016-10-01,105.449997,109.000000,99.000000,101.690002,101.690002,240132000
2016-11-01,100.430000,104.099998,87.879997,94.019997,94.019997,330458400
2016-12-01,94.000000,94.055000,86.010002,87.809998,87.809998,218116600
2017-01-01,89.000000,104.570000,88.080002,101.309998,101.309998,239221800
2017-02-01,102.070000,105.199997,100.019997,102.900002,102.900002,160503400
2017-03-01,103.680000,110.449997,102.099998,107.830002,107.830002,205442400
2017-04-01,108.849998,115.989998,106.760002,115.500000,115.500000,172115600
2017-05-01,115.629997,126.400002,114.000000,122.459999,122.459999,277888800
2017-06-01,122.820000,148.289993,122.260002,140.899994,140.899994,553042600
2017-07-01,141.750000,160.389999,139.494995,154.949997,154.949997,273542200
2017-08-01,156.250000,177.000000,147.500000,171.740005,171.740005,473139700
2017-09-01,171.990005,180.869995,166.789993,172.710007,172.710007,363859100
2017-10-01,174.570007,185.119995,168.580002,184.889999,184.889999,337678900
2017-11-01,187.880005,191.750000,173.619995,177.080002,177.080002,420233600
2017-12-01,175.270004,180.679993,164.250000,172.429993,172.429993,416246000
2018-01-01,176.399002,206.199997,175.699997,204.289993,204.289993,445133200
2018-02-01,192.750000,199.490005,168.880005,186.139999,186.139999,444924200
2018-03-01,186.179993,201.500000,175.449997,183.539993,183.539993,382712800
2018-04-01,182.809998,183.630005,166.130005,178.539993,178.539993,323468000
2018-05-01,177.580002,202.279999,175.770004,198.009995,198.009995,412790400
2018-06-01,199.500000,211.699997,182.039993,185.529999,185.529999,408863800
2018-07-01,181.660004,198.350006,181.059998,187.229996,187.229996,321778400
2018-08-01,186.000000,189.059998,165.389999,175.009995,175.009995,605639200
2018-09-01,173.500000,173.949997,152.850006,164.759995,164.759995,433303500
2018-10-01,165.919998,165.949997,130.059998,142.279999,142.279999,544315500
2018-11-01,144.979996,160.860001,138.619995,160.860001,160.860001,456396300
2018-12-01,168.639999,168.800003,129.770004,137.070007,137.070007,344658200
2019-01-01,134.130005,169.729996,129.830002,168.490005,168.490005,361418500
2019-02-01,168.000000,184.929993,163.750000,183.029999,183.029999,223664600
2019-03-01,185.089996,188.080002,171.565002,182.449997,182.449997,233498900
2019-04-01,185.089996,189.789993,176.759995,185.570007,185.570007,260682600
2019-05-01,186.750000,195.720001,147.949997,149.259995,149.259995,511785500
2019-06-01,149.600006,171.979996,148.845001,168.990005,168.990005,453733100
2019-07-01,175.865005,179.880005,165.000000,173.110001,173.110001,356332800
2019-08-01,174.539993,178.800003,151.850006,175.029999,175.029999,405379500
2019-09-01,173.000000,184.130005,163.149994,167.229996,167.229996,246313700
2019-10-01,168.009995,179.639999,161.679993,176.669998,176.669998,260136100
2019-11-01,179.009995,200.979996,176.059998,200.000000,200.000000,408551100
2019-12-01,198.580002,218.110001,189.850006,212.100006,212.100006,300787300
2020-01-01,216.600006,231.139999,199.500000,206.589996,206.589996,304096100
2020-02-01,208.669998,226.699997,198.561005,208.000000,208.000000,329528100
2020-03-01,208.589996,215.149994,169.949997,194.479996,194.479996,440289600
2020-04-01,189.500000,216.100006,185.039993,202.669998,202.669998,329723000
2020-05-01,195.750000,221.156998,189.529999,207.389999,207.389999,504429000
2020-06-01,205.899994,231.029999,203.940002,215.699997,215.699997,334410900
2020-07-01,215.809998,268.000000,214.740005,251.020004,251.020004,426340500
2020-08-01,254.020004,292.480011,246.100006,287.029999,287.029999,309750200
2020-09-01,289.200012,299.000000,264.559998,293.980011,293.980011,235200900
2020-10-01,295.260010,319.320007,284.880005,304.690002,304.690002,278210200
2020-11-01,310.950012,311.440002,252.550003,263.359985,263.359985,585535800
2020-12-01,265.470001,271.299988,211.229996,232.729996,232.729996,574968100
