Date,Open,High,Low,Close,Adj Close,Volume
2004-06-01,0.875000,0.925000,0.790000,0.860000,0.772462,3679937500
2004-07-01,0.855000,0.890000,0.675000,0.770000,0.691623,1054832500
2004-08-01,0.770000,0.810000,0.675000,0.735000,0.660185,490567500
2004-09-01,0.735000,0.795000,0.690000,0.760000,0.682641,415555000
2004-10-01,0.760000,0.960000,0.760000,0.920000,0.826355,864468150
2004-11-01,0.910000,1.210000,0.885000,1.180000,1.059890,966775000
2004-12-01,1.180000,1.270000,0.925000,0.925000,0.830845,801280000
2005-01-01,0.940000,0.995000,0.855000,0.910000,0.817372,672134000
2005-02-01,0.910000,1.080000,0.910000,1.020000,0.916176,633724260
2005-03-01,1.030000,1.190000,0.995000,1.130000,1.014979,494194050
2005-04-01,1.140000,1.140000,1.000000,1.080000,0.970068,327392150
2005-05-01,1.080000,1.140000,1.040000,1.110000,0.997015,403357025
2005-06-01,1.110000,1.330000,1.110000,1.180000,1.059890,626659285
2005-07-01,1.180000,1.290000,1.150000,1.220000,1.095818,568899575
2005-08-01,1.220000,1.600000,1.150000,1.500000,1.347317,699256805
2005-09-01,1.520000,1.900000,1.510000,1.890000,1.697620,577219460
2005-10-01,1.880000,1.940000,1.570000,1.610000,1.446120,268558340
2005-11-01,1.650000,1.820000,1.450000,1.570000,1.410192,869058895
2005-12-01,1.590000,1.720000,1.590000,1.660000,1.491031,307667845
2006-01-01,1.670000,2.140000,1.670000,2.000000,1.796423,441872185
2006-02-01,2.030000,2.280000,1.930000,2.100000,1.886244,281388655
2006-03-01,2.090000,2.720000,1.960000,2.610000,2.344332,513908170
2006-04-01,2.610000,3.150000,2.560000,3.130000,2.811402,370799930
2006-05-01,3.140000,3.680000,2.810000,3.340000,3.000026,436173110
2006-06-01,3.360000,3.620000,2.880000,3.280000,2.946133,458808695
2006-07-01,3.240000,3.240000,2.700000,2.968000,2.665891,300859700
2006-08-01,2.968000,3.572000,2.968000,3.400000,3.053919,347425820
2006-09-01,3.400000,3.796000,3.348000,3.588000,3.222783,321229555
2006-10-01,3.580000,3.740000,3.452000,3.728000,3.348532,246623065
2006-11-01,3.776000,4.840000,3.752000,4.300000,3.862309,379806985
2006-12-01,4.360000,5.550000,4.190000,5.540000,4.976092,343950600
2007-01-01,5.540000,6.380000,5.280000,6.070000,5.452143,444309925
2007-02-01,6.070000,6.300000,5.030000,5.310000,4.769502,251723660
2007-03-01,5.380000,5.970000,4.930000,5.100000,4.580880,370365825
2007-04-01,5.130000,5.620000,4.700000,5.370000,4.823396,397574160
2007-05-01,5.340000,6.830000,5.330000,6.740000,6.053945,637759650
2007-06-01,6.740000,6.770000,5.980000,6.290000,5.649749,330039390
2007-07-01,6.520000,7.740000,6.400000,7.240000,6.503051,242430915
2007-08-01,7.240000,8.100000,5.700000,8.100000,7.275513,379052535
2007-09-01,8.280000,10.100000,7.700000,10.040000,9.018044,315239240
2007-10-01,10.240000,14.560000,8.770000,13.200000,11.856391,659066665
2007-11-01,13.140000,13.440000,9.230000,11.700000,10.509072,640060620
2007-12-01,11.460000,12.000000,10.300000,12.000000,10.778537,215180245
2008-01-01,11.200000,12.440000,7.940000,9.250000,8.308457,439824130
2008-02-01,9.390000,10.610000,9.110000,9.940000,8.928222,236022645
2008-03-01,9.910000,10.139000,6.800000,8.850000,7.949172,434535215
2008-04-01,9.170000,11.080000,8.900000,10.310000,9.260560,381459225
2008-05-01,10.600000,14.180000,10.600000,13.140000,11.802498,791441590
2008-06-01,13.500000,14.410000,11.760000,12.060000,10.986217,721699370
2008-07-01,11.860000,14.000000,11.400000,13.910000,12.671500,371893070
2008-08-01,13.600000,14.390000,12.440000,13.400000,12.206908,326769080
2008-09-01,13.400000,13.960000,9.380000,11.100000,10.111692,655682365
2008-10-01,10.600000,11.260000,7.050000,11.000000,10.020596,869141185
2008-11-01,10.754800,11.640000,7.660000,8.500000,7.743188,723140560
2008-12-01,8.500000,10.600000,8.300000,10.000000,9.109633,532066705
2009-01-01,10.000000,10.700000,8.290000,9.680000,8.818126,519307725
2009-02-01,9.680000,10.160000,8.700000,8.990000,8.189561,371004490
2009-03-01,8.750000,11.970000,8.690000,11.480000,10.457858,596917120
2009-04-01,11.620000,14.000000,11.480000,13.800000,12.571295,413442320
2009-05-01,13.800000,17.480000,13.800000,17.280001,15.741447,484176515
2009-06-01,16.940001,19.150000,16.600000,18.090000,16.763260,525125100
2009-07-01,18.090000,21.379999,1.750000,20.920000,19.385698,434214815
2009-08-01,21.200001,24.540001,21.059999,23.059999,21.368750,486467240
2009-09-01,23.000000,26.360001,22.520000,25.219999,23.370333,364410610
2009-10-01,25.219999,30.400000,24.400000,27.420000,25.408985,484745800
2009-11-01,27.180000,30.600000,26.799999,28.660000,26.558039,467782530
2009-12-01,28.860001,33.200001,28.680000,33.799999,31.321064,420683215
2010-01-01,33.700001,35.040001,27.500000,29.040001,26.910172,690951065
2010-02-01,28.879999,30.900000,26.660000,30.440001,28.207493,523577105
2010-03-01,30.799999,33.599998,30.100000,31.160000,28.874689,645365265
2010-04-01,30.820000,33.099998,30.660000,32.680000,30.283211,451996450
2010-05-01,32.400002,33.360001,27.237000,30.040001,27.836830,674582570
2010-06-01,29.900000,30.780001,24.080000,26.100000,24.481646,1177933280
2010-07-01,26.100000,30.080000,25.660000,29.940001,28.083544,525053885
2010-08-01,30.400000,31.160000,27.139999,28.459999,26.695311,431340405
2010-09-01,28.160000,34.220001,28.080000,33.919998,31.816761,446896045
2010-10-01,35.000000,38.599998,33.080002,35.500000,33.298786,446870835
2010-11-01,37.200001,37.840000,32.860001,34.540001,32.398315,620462255
2010-12-01,34.660000,36.880001,33.340000,33.779999,31.685432,327705240
2011-01-01,33.980000,41.160000,33.799999,40.400002,37.894966,488162325
2011-02-01,40.439999,42.400002,37.400002,41.200001,38.645355,499995840
2011-03-01,42.000000,45.759998,37.279999,37.900002,35.549980,803512300
2011-04-01,38.799999,46.160000,37.900002,44.200001,41.459335,589784620
2011-05-01,45.480000,45.480000,41.400002,44.759998,41.984619,469228400
2011-06-01,45.000000,45.279999,37.439999,42.240002,40.120102,615705920
2011-07-01,43.439999,43.720001,39.680000,40.560001,38.524414,365102645
2011-08-01,41.000000,41.720001,33.099998,37.000000,35.143082,753172215
2011-09-01,38.000000,38.400002,30.320000,32.840000,31.191860,597163680
2011-10-01,32.599998,38.000000,27.980000,36.619999,34.782150,522195605
2011-11-01,35.320000,37.599998,27.959999,29.040001,27.582569,654300680
2011-12-01,31.600000,31.860001,28.500000,31.219999,29.653162,350649095
2012-01-01,31.219999,38.000000,30.059999,37.939999,36.035912,388840825
2012-02-01,38.200001,40.919998,36.220001,40.400002,38.372440,415614265
2012-03-01,40.000000,45.080002,38.720001,43.320000,41.145897,466033675
2012-04-01,43.880001,49.080002,42.439999,48.759998,46.312885,322125425
2012-05-01,48.799999,49.759998,40.720001,42.680000,40.538013,535686040
2012-06-01,42.680000,48.200001,40.880001,45.200001,43.659199,341772660
2012-07-01,45.200001,48.119999,43.880001,46.360001,44.779655,314468720
2012-08-01,46.360001,50.560001,44.919998,47.400002,45.784203,398789285
2012-09-01,47.759998,53.000000,46.599998,52.840000,51.038769,289409245
2012-10-01,52.840000,54.919998,51.000000,54.799999,52.931950,241768530
2012-11-01,54.799999,56.200001,48.480000,50.639999,48.913757,433930575
2012-12-01,50.119999,51.000000,47.840000,49.799999,48.102394,295571490
2013-01-01,49.799999,54.599998,49.799999,54.279999,52.429680,432938905
2013-02-01,53.599998,55.759998,52.520000,53.639999,51.811497,266094155
2013-03-01,54.080002,57.200001,47.880001,49.360001,47.677387,715100815
2013-04-01,49.360001,53.720001,47.400002,53.240002,51.425129,421165865
2013-05-01,53.240002,62.000000,52.680000,61.560001,59.461514,449816475
