投资方,序号,产品名称,所属公司,地区,参与轮次,轮次,投资时间,投资年份,money,投资金额,投资金额_等级,行业,产品介绍,游戏,直播/视频,教育培训,食品饮料/零售,旅游/OTA,金融/支付,社交社区,硬件/生产制造,电子商务,生活服务,物流运输,汽车交通,文娱传媒,房产家居,工具软件,医疗健康/生物医药,企业服务,人工智能,运动健身,科创/技术研发,电信/通信,其他,GESHU,所属行业
阿里巴巴,380,遛遛,遛友宠物信息科技（上海）有限公司,0,天使轮,Angel/Seed,2014/10/30,2014,0.05,5000000,1,5,遛遛是一个基于宠物的移动社交应用，基于地理位置帮助用户发现身边的爱宠达人和宠物、一起遛狗；解决宠物配种、领养、寄养等服务，上海遛遛信息科技有限公司旗下。  ,,,,,,,,,,,,,,,,,,,,,,,,社交社区
阿里巴巴,381,妈妈值得买,北京星宝时尚科技有限公司,0,A轮,A,2014/10/23,2014,0.1,10000000,2,5,北京星宝时尚是一家专注于母婴、妈妈服务的网站，旗下产品有妈妈晒晒网站、移动类母婴导购应用“尝鲜”等。  ,,,,,,,,,,,,,,,,,,,,,,,,社交社区
阿里巴巴,382,时光小屋APP,武汉时光部落网络有限公司,0,A轮,A,2014/10/17,2014,0.3275,32750000,2,12,时光小屋是一款以孩子为中心，专注家人间的即时通讯和家庭云存储工具。时光小屋为每个有孩子的家庭提供一个以文字、图片、视频形式记录孩子成长经历的空间，安全私密，全家共享。同时每个家人有自己独立的时间轴，各个家人的动态更新组成整个家庭的完整记录。  ,,,,,,,,,,,,,,,,,,,,,,,,工具软件
阿里巴巴,383,Peel,Peel,0,D轮,D,2014/10/10,2014,3.275,327500000,3,12,Peel 智能遥控器通过遥控技能和直播媒体电视内容结合到一款简单易用的应用程序，改变您的家庭娱乐体验。这就是您的电视所需要的一款遥控器。 通用遥控器 通过您智能手机上内置红外 IR 发射器，您可以可靠控制您的电视机、机顶盒、DVD 播放器、蓝牙光碟机、Roku、苹果电视、音响系统和像空调以及加热器这样的家用电器。   ,,,,,,,,,,,,,,,,,,,,,,,,工具软件
阿里巴巴,385,伍一技术,浙江伍一技术股份有限公司,0,A轮,A,2014/9/24,2014,0.5,50000000,2,6,中国浙江网上技术市场是一家在线技术成果、技术需求的B2B交易服务平台，浙江伍一技术股份有限公司开发运营。   ,,,,,,,,,,,,,,,,,,,,,,,,电子商务
阿里巴巴,386,魔漫相机,北京百舜华年文化传播有限公司,0,A轮,A,2014/9/17,2014,3.275,327500000,3,12,魔漫相机是全球第一款原创将真人拍成幽默漫画的手机应用。自2013年7月上线以来，魔漫相机创下了全球移动互联网领域的多项纪录，如单日新增用户325万、4日新增用户破千万、7个月用户数破亿，单日头像上传2亿张、160多个国家和地区AppStore总排名第一等。  ,,,,,,,,,,,,,,,,,,,,,,,,工具软件
阿里巴巴,387,车来了,武汉元光科技有限公司,0,A轮,A,2014/8/13,2014,0.3275,32750000,2,10,车来了是一个公交实时查询平台，平台为用户提供公交车出发时间、到站距离、预计到站时间等信息，还能显示公交车整条线路的实时通行状况，同时还提供地铁线路的相关信息查询。  ,,,,,,,,,,,,,,,,,,,,,,,,汽车交通
阿里巴巴,389,芭乐传媒,芭乐互动（北京）文化传媒有限公司,0,B轮,B,2014/8/1,2014,7.86,786000000,3,1,芭乐互动是一家原创影视内容制作发行服务商。公司主要提供影视IP孵化、影视项目投资、影视出品发行以及IP衍生品开发等影视服务。公司已经制作推出了《恶魔少爷别吻我》、《哎呦，表演系》等作品。  ,,,,,,,,,,,,,,,,,,,,,,,,文娱传媒
阿里巴巴,390,易大师,广州晓白网络科技有限公司,0,天使轮,Angel/Seed,2014/8/1,2014,0.05,5000000,1,12,易大师是一款专注于手机游戏评测的移动端APP软件，以“边游戏，边评测，最真实透明的手机评测”为我们的宗旨，立志为广大玩家提供最真实的手机评测工具。广州晓白网络科技有限公司旗下产品。  ,,,,,,,,,,,,,,,,,,,,,,,,工具软件
阿里巴巴,391,心怡科技,浙江心怡供应链管理有限公司,0,A轮,A,2014/6/9,2014,0.5,50000000,2,19,浙江心怡供应链管理有限公司始终坚持“让科技物流为商家创造价值”的企业使命，深耕互联网和人工智能技术，致力于构建一站式供应链生态系统。经过十多年的耕耘和努力，心怡科技已发展成为国家高新技术企业、国家5A级物流企业，率先进入供应链服务领域的大数据时代。  ,,,,,,,,,,,,,,,,,,,,,,,,物流运输
阿里巴巴,392,UC浏览器,广州市动景计算机科技有限公司,0,并购,Merger,2014/6/1,2014,31.3745,3137450000,4,12,UC优视是一家移动互联网公司，旗下有UC浏览器、九游、UC云等产品，隶属于广州市动景计算机科技有限公司。  ,,,,,,,,,,,,,,,,,,,,,,,,工具软件
阿里巴巴,393,超级课程表,广州超级周末科技有限公司,0,B轮,B,2014/6/1,2014,5,500000000,3,5,超级课程表是一个大学生课程表及社交应用，广州超级周末科技有限公司旗下。  ,,,,,,,,,,,,,,,,,,,,,,,,社交社区
阿里巴巴,394,二十一世纪传媒,广东二十一世纪传媒股份有限公司,0,A轮,A,2014/6/1,2014,12,1200000000,4,1,二十一世纪传媒/21世纪是一家财经媒体，由广东二十一世纪出版有限公司于2010年9月整体改制而来，控股股东为广东南方报业传媒集团有限公司。目前旗下拥有报纸(21世纪经济报道、理财周报)、杂志(21世纪商业评论、福布斯中国版)、网站(21世纪网)、商业项目为一体的全媒体。  ,,,,,,,,,,,,,,,,,,,,,,,,文娱传媒
阿里巴巴,395,恒大淘宝,广州恒大淘宝足球俱乐部股份有限公司,0,A轮,A,2014/6/1,2014,3.275,327500000,3,5,广州恒大淘宝足球俱乐部前身是成立于1954年的广州市足球队。1993年1月，广州市足球队通过和太阳神集团合作，成为中国第一家政府与企业合股的职业足球俱乐部。2010年3月1日，恒大集团买断球队全部股权，俱乐部更名为广州恒大足球俱乐部。  ,,,,,,,,,,,,,,,,,,,,,,,,社交社区
阿里巴巴,396,穷游网,北京穷游天下科技发展有限公司,0,C轮,C,2014/5/7,2014,3.275,327500000,3,15,穷游网鼓励和帮助中国旅行者以自己的视角和方式体验世界，为出国旅行者提供专业、实用、全面的出境游旅行指南和旅游攻略，是中国出境游旅行者们分享旅游目的地信息和游记攻略的平台。  ,,,,,,,,,,,,,,,,,,,,,,,,旅游/OTA
阿里巴巴,397,ASLAN阿斯兰,上海阿斯兰商旅服务有限公司,0,并购,Merger,2014/5/1,2014,16.3095,1630950000,4,10,ASLAN阿斯兰是一家全球机票B2B服务平台，主打国际机票在线查询和预订服务，隶属于上海阿斯兰商旅服务有限公司。  ,,,,,,,,,,,,,,,,,,,,,,,,汽车交通
阿里巴巴,401,商业评论,上海智篆文化传播有限公司,0,A轮,A,2014/4/25,2014,0.1,10000000,2,1,《商业评论》杂志创刊于2002年，是一本商业评论杂志，致力于提供中国商业环境下有效的管理思想、方法和案例，帮助中国企业解决管理问题。上海智篆文化传播有限公司旗下产品。  ,,,,,,,,,,,,,,,,,,,,,,,,文娱传媒
阿里巴巴,403,Lyft,Lyft,美国,D轮,D,2014/4/3,2014,16.375,1637500000,4,10,Lyft是一家美国网约车服务平台，并提供打车中的拼车服务模式，用户打开手机APP，即可打车；车主注册成为该公司的司机后，即可打开手机APP端乘载用户，平台从司机赚取的费用中抽取佣金。同时公司还为汽车制造商开发自动驾驶系统。  ,,,,,,,,,,,,,,,,,,,,,,,,汽车交通
阿里巴巴,404,快的打车,杭州快智科技有限公司,0,B轮,B,2014/4/1,2014,0.5,50000000,2,10,快的打车是一款智能手机打车应用，软件为打车乘客和出租司机量身定做，乘客可以轻松发单，随时随地打车；司机可以降低空驶率，轻松多赚钱。  ,,,,,,,,,,,,,,,,,,,,,,,,汽车交通
阿里巴巴,405,新片场,北京新片场传媒股份有限公司,0,A轮,A,2014/4/1,2014,3.275,327500000,3,1,北京新片场传媒股份有限公司目前主要从事新媒体影视作品的出品制作、传播发行及衍生业务。公司所从事的主营业务，属于电影和影视节目制作产业中的细分子行业“新媒体影视行业”。报告期内公司主要从事网络电影、网络系列栏目/剧、微电影和广告短片的出品制作、传播发行业务。  ,,,,,,,,,,,,,,,,,,,,,,,,文娱传媒
阿里巴巴,407,堆糖网,堆糖信息科技（上海）有限公司,0,A轮,A,2014/3/31,2014,0.5,50000000,2,1,堆糖网，隶属于堆糖信息科技（上海）有限公司，为用户收集发现喜爱的事物，以图片的方式来展示和浏览。  ,,,,,,,,,,,,,,,,,,,,,,,,文娱传媒
阿里巴巴,408,Tango,Tango,美国,D轮,D,2014/3/19,2014,18.34,1834000000,4,5,Tango成立于2009年，是一个手机上的移动社交应用，主打美国、西欧、中东和东南亚部分地区，全球注册用户超过2亿人，月活跃用户7000万。  ,,,,,,,,,,,,,,,,,,,,,,,,社交社区
阿里巴巴,409,一达通,深圳市一达通企业服务有限公司,0,并购,Merger,2014/3/13,2014,1,100000000,3,3,一达通是一家面向中小企业的进出口流程外包服务平台，主要通过互联网（IE+IT）一站式为中小企业和个人提供通关、物流、外汇，退税、金融等所有进出口环节服务。  ,,,,,,,,,,,,,,,,,,,,,,,,企业服务
阿里巴巴,410,易果生鲜,上海易果电子商务有限公司,0,B轮,B,2014/3/3,2014,0.5,50000000,2,17,易果生鲜网是一个主打生鲜水果的B2C电商，旗下有“易果”、“原膳”、“乐醇”、“锦色”等品牌，覆隶属于上海易果电子商务有限公司。  ,,,,,,,,,,,,,,,,,,,,,,,,食品/商贸零售
阿里巴巴,411,阿里影业,阿里巴巴影业集团有限公司,0,并购,Merger,2014/3/1,2014,53.7,5370000000,4,1,阿里巴巴影业集团是一家以创造快乐、成就梦想为使命的互联网影视公司，是以互联网为核心驱动，拥有粉丝运营、投融资、内容生产制作、宣传发行和院线服务平台的全产业链娱乐平台。  ,,,,,,,,,,,,,,,,,,,,,,,,文娱传媒
阿里巴巴,412,百程旅游,北京百程国际旅游股份有限公司,0,B轮,B,2014/3/1,2014,1.31,131000000,3,15,百程旅行网（此前叫佰程旅行网）是一个主打O2O的出境游服务商，提供签证代理、专属定制、自由行、主题团组、境外酒店、国际机票、国际单项、企业国际商旅服务等，隶属于北京佰程国际旅游有限公司。  ,,,,,,,,,,,,,,,,,,,,,,,,旅游/OTA
阿里巴巴,413,疯子助手,北京紫贝壳软件有限公司,0,天使轮,Angel/Seed,2014/3/1,2014,0.05,5000000,1,12,国内首款无需闪退修复的苹果助手。同时支持iPhone、iPad、iTouch等iOS设备的软件、游戏资源的下载安装。游戏、应用一键安装，永不闪退。隶属于北京紫贝壳软件有限公司。  ,,,,,,,,,,,,,,,,,,,,,,,,工具软件
阿里巴巴,415,iTutorGroup,北京创意麦奇教育信息咨询有限公司,0,B轮,B,2014/2/1,2014,68.44749999,6844749999,4,8,TutorGroup是一个真人在线语言学习平台，旗下有TutorABC、VipJr等英语学习平台。是全球领先的在线教育公司，通过其网络为成千上万的学生和商业专业人士提供个性化的学习体验。iTutorGroup通过利用大数据分析，利用学生、同学、教学顾问和数字内容之间的高级算法匹配来做到这一点。已成为全球最大的在线平台，推动着实时人与人之间的互动。  ,,,,,,,,,,,,,,,,,,,,,,,,教育培训
阿里巴巴,417,高德地图,高德软件有限公司,0,并购,Merger,2014/2/1,2014,0.3,30000000,2,10,高德是一家数字地图内容、导航和位置服务解决方案提供商，拥有导航电子地图甲级测绘资质、测绘航空摄影甲级资质和互联网地图服务甲级测绘资质“三甲”资质，2010年纳斯达克上市，2014年2月被阿里巴巴收购。  ,,,,,,,,,,,,,,,,,,,,,,,,汽车交通
阿里巴巴,418,1stdibs,1stdibs,美国,C轮,C,2014/1/24,2014,0.9825,98250000,2,22,stdibs 成立于2001年，是一家来自美国的高端奢侈品网站，主要销售珠宝、艺术品、奢侈品等。  ,,,,,,,,,,,,,,,,,,,,,,,,其他
阿里巴巴,420,海尔家居,青岛海骊住居科技股份有限公司,0,A轮,A,2013/12/8,2013,23.842,2384200000,4,20,青岛海尔家居集成股份有限公司是隶属于海尔集团的全资子公司，依托海尔集团的品牌优势，开创了中国家居集成装配式装修先河，专业服务于房地产开发商及大型公装客户，提供装配式装修一站式系统集成解决方案。  ,,,,,,,,,,,,,,,,,,,,,,,,房产家居
阿里巴巴,421,UC浏览器,广州市动景计算机科技有限公司,0,Pre-IPO,Pre-IPO,2013/12/1,2013,3.275,327500000,3,12,UC优视是一家移动互联网公司，旗下有UC浏览器、九游、UC云等产品，隶属于广州市动景计算机科技有限公司。  ,,,,,,,,,,,,,,,,,,,,,,,,工具软件
阿里巴巴,423,永杨安风,永杨安风（北京）科技股份有限公司,0,B轮,B,2013/12/1,2013,11.79,1179000000,4,12,LBE安全大师起源于魅族论坛的LBE小组，是Android平台上一款主动式防御软件，具备实时监控与拦截能力的安全软件。永杨安风（北京）科技有限公司旗下。  ,,,,,,,,,,,,,,,,,,,,,,,,工具软件
阿里巴巴,424,陌陌,北京陌陌科技有限公司,0,C轮,C,2013/10/12,2013,2.1615,216150000,3,5,陌陌是一款基于地理位置的移动社交产品，北京陌陌科技有限公司旗下。  ,,,,,,,,,,,,,,,,,,,,,,,,社交社区
阿里巴巴,426,Quixey,Quixey,0,C轮,C,2013/10/3,2013,3.275,327500000,3,12,Quixey是一家移动搜素公司，提供搜索业务，同时，他们表示已经研发了新的技术，可以直接在搜索一些私人的信息，如Facebook中的附近好友列表、Spotify的播放清单等。  ,,,,,,,,,,,,,,,,,,,,,,,,工具软件
阿里巴巴,429,易果生鲜,上海易果电子商务有限公司,0,A轮,A,2013/8/1,2013,3.275,327500000,3,17,易果生鲜网是一个主打生鲜水果的B2C电商，旗下有“易果”、“原膳”、“乐醇”、“锦色”等品牌，覆隶属于上海易果电子商务有限公司。  ,,,,,,,,,,,,,,,,,,,,,,,,食品/商贸零售
阿里巴巴,430,智臻智能,上海智臻智能网络科技股份有限公司,0,C轮,C,2013/7/31,2013,3.275,327500000,3,3,小i机器人是智能机器人客服品牌，智能交互服务机器人平台运营商。上海智臻网络科技有限公司旗下。  ,,,,,,,,,,,,,,,,,,,,,,,,企业服务
阿里巴巴,431,穷游网,北京穷游天下科技发展有限公司,0,B轮,B,2013/7/12,2013,3.275,327500000,3,15,穷游网鼓励和帮助中国旅行者以自己的视角和方式体验世界，为出国旅行者提供专业、实用、全面的出境游旅行指南和旅游攻略，是中国出境游旅行者们分享旅游目的地信息和游记攻略的平台。  ,,,,,,,,,,,,,,,,,,,,,,,,旅游/OTA
阿里巴巴,434,淘淘搜,杭州淘淘搜科技有限公司,0,B轮,B,2013/6/1,2013,3.275,327500000,3,6,淘淘搜是国内领先的购物搜索，通过先进的图像搜索和大数据能力，能够在海量商品中，帮助用户更快地找到心仪的商品。支持全网比价，时尚不败家！还有传图找商品的特色服务，也可以逛一逛淘淘搜为自己个性化推荐的精选商品、优惠活动、购物经验！  ,,,,,,,,,,,,,,,,,,,,,,,,电子商务
阿里巴巴,435,晟邦物流,南京晟邦物流有限公司,0,A轮,A,2013/5/24,2013,1,100000000,3,19,晟邦物流是江苏地区民营唯一一家全境自营网络覆盖无盲区的专业配送公司。隶属于南京晟邦物流有限公司。  ,,,,,,,,,,,,,,,,,,,,,,,,物流运输
阿里巴巴,436,UC浏览器,广州市动景计算机科技有限公司,0,E轮,E,2013/5/1,2013,19.257,1925700000,4,12,UC优视是一家移动互联网公司，旗下有UC浏览器、九游、UC云等产品，隶属于广州市动景计算机科技有限公司。  ,,,,,,,,,,,,,,,,,,,,,,,,工具软件
阿里巴巴,440,Peel,Peel,0,C轮,C,2013/4/5,2013,1.31,131000000,3,12,Peel 智能遥控器通过遥控技能和直播媒体电视内容结合到一款简单易用的应用程序，改变您的家庭娱乐体验。这就是您的电视所需要的一款遥控器。 通用遥控器 通过您智能手机上内置红外 IR 发射器，您可以可靠控制您的电视机、机顶盒、DVD 播放器、蓝牙光碟机、Roku、苹果电视、音响系统和像空调以及加热器这样的家用电器。   ,,,,,,,,,,,,,,,,,,,,,,,,工具软件
阿里巴巴,441,快的打车,杭州快智科技有限公司,0,A轮,A,2013/4/1,2013,0.655,65500000,2,10,快的打车是一款智能手机打车应用，软件为打车乘客和出租司机量身定做，乘客可以轻松发单，随时随地打车；司机可以降低空驶率，轻松多赚钱。  ,,,,,,,,,,,,,,,,,,,,,,,,汽车交通
阿里巴巴,442,淘在路上,上海雀沃信息技术有限公司,0,A+轮,A,2013/4/1,2013,5.24,524000000,3,15,在路上是一个旅行分享社区和旅行产品预订平台，除了有目的地的个性化游记攻略，平台方还为此筛选很多旅行产品，让用户在确认即可到达目的地后用手机app直接预定。  ,,,,,,,,,,,,,,,,,,,,,,,,旅游/OTA
阿里巴巴,443,友盟+,友盟同欣（北京）科技有限公司,0,并购,Merger,2013/4/1,2013,0.3275,32750000,2,3,【友盟+】，全球领先的第三方全域大数据服务提供商，2016年初由友盟、CNZZ、缔元信.网络数据三家国内顶尖的大数据公司合并而成。【友盟+】集三家公司优势于一身，通过全面覆盖PC、手机、传感器、无线路由器等多种设备数据，打造全域数据平台。秉承独立第三方的数据服务理念，坚持诚信、公正、客观的数据信仰，为客户提供全业务链数据应用解决方案，包括基础统计、运营分析、数据决策和数据业务等，帮助企业实现数据化运营和管理。  ,,,,,,,,,,,,,,,,,,,,,,,,企业服务
阿里巴巴,445,声盟,蓝沛科技（北京）有限公司,0,并购,Merger,2013/2/1,2013,0.05,5000000,1,1,声盟是一家主打声音为媒介的新媒体广告技术及服务提供商，为开发者提供声音广告和联盟服务，隶属于蓝沛科技（北京）有限公司。  ,,,,,,,,,,,,,,,,,,,,,,,,文娱传媒
阿里巴巴,446,快悉Quixey,快悉软件（北京）有限公司,0,C轮,C,2013/1/1,2013,3.275,327500000,3,12,Quixey致力于提供全球最棒的移动搜索服务，通过深度挖掘应用及应用内容，最终精准呈现你最需要的信息  ,,,,,,,,,,,,,,,,,,,,,,,,工具软件
阿里巴巴,448,启博云,杭州启博科技有限公司,0,A轮,A,2013/1/1,2013,0.5,50000000,2,6,杭州启博(简称启博云)成立于2008年，是中国移动分销解决方案提供商及企业私域生态服务商，为暾澜资本战略投资企业，启博秉承以“服务商家运营”为核心、以帮助客户拓展更多“销售渠道和提高运营效率”为主线、 以SaaS云平台为主要服务模式的运营理念，专注于电商软件的研发与创新。  ,,,,,,,,,,,,,,,,,,,,,,,,电子商务
阿里巴巴,449,神马搜索,广州神马移动信息科技有限公司,0,天使轮,Angel/Seed,2013/1/1,2013,0.5,50000000,2,6,神马搜索是一款专注移动互联网的搜索引擎，致力于为用户创造方便、快捷、开放的移动搜索新体验。支持应用搜索、购物搜索、小说搜索等服务，目前团队分布在杭州和北京。  ,,,,,,,,,,,,,,,,,,,,,,,,电子商务
阿里巴巴,451,丁丁网,上海极索信息技术有限公司,0,D轮,D,2012/11/1,2012,3.275,327500000,3,11,丁丁网/丁丁优惠是一家结合位置技术和搜索技术为城市人群提供精准生活信息服务的高科技互联网企业。  ,,,,,,,,,,,,,,,,,,,,,,,,生活服务
阿里巴巴,453,陌陌,北京陌陌科技有限公司,0,B轮,B,2012/8/1,2012,1.87985,187985000,3,5,陌陌是一款基于地理位置的移动社交产品，北京陌陌科技有限公司旗下。  ,,,,,,,,,,,,,,,,,,,,,,,,社交社区
阿里巴巴,454,万象物流,上海万象文化配送有限公司,0,A轮,A,2012/6/15,2012,0.5,50000000,2,19,万象物流是一家第三方物流配送、仓储、代配服务商，公司目前主要拥有三大业务板块，即快递及仓储业务、媒体代理发行业务和DM数据营销业务，上海万象文化配送有限公司旗下快递品牌。   ,,,,,,,,,,,,,,,,,,,,,,,,物流运输
阿里巴巴,455,又一城,厦门又一城网络科技有限公司,0,A轮,A,2012/4/24,2012,0.5,50000000,2,3,厦门又一城是一家专业的全渠道零售终端服务商。其精于网络分销实战，拥有丰富的电商IT系统服务经验，致力为品牌企业提供全渠道零售一体化服务。同时推进O2O和移动端项目进程，助力企业建立三端合一的PMS零售模式。  ,,,,,,,,,,,,,,,,,,,,,,,,企业服务
阿里巴巴,456,商派云起,上海商派网络科技有限公司,0,C轮,C,2012/1/1,2012,0.5,50000000,2,6,商派（Shopex）是中国领先的电子商务服务和技术供应商。商派致力于为企业提供立体化的服务和技术，从前端到后端，从直销到分销，从PC到移动，从线上到线下，帮助各种类型（大中小微）的企业纵向打通资源、横向整合业务。隶属于上海商派网络科技有限公司。  ,,,,,,,,,,,,,,,,,,,,,,,,电子商务
阿里巴巴,457,淘淘搜,杭州淘淘搜科技有限公司,0,A轮,A,2011/11/1,2011,0.3275,32750000,2,6,淘淘搜是国内领先的购物搜索，通过先进的图像搜索和大数据能力，能够在海量商品中，帮助用户更快地找到心仪的商品。支持全网比价，时尚不败家！还有传图找商品的特色服务，也可以逛一逛淘淘搜为自己个性化推荐的精选商品、优惠活动、购物经验！  ,,,,,,,,,,,,,,,,,,,,,,,,电子商务
阿里巴巴,458,购物助手,北京彬祺软件技术有限责任公司,0,并购,Merger,2011/9/1,2011,0.5,50000000,2,6,彬祺软件专门从事购物搜索、比价、同款和推荐等方面的产品设计和开发，主要产品为购物助手系列（浏览器插件、Android应用等），是国内最知名的购物类浏览器应用。购物助手于2011年被淘宝收购，更名为“如意淘”。  ,,,,,,,,,,,,,,,,,,,,,,,,电子商务
阿里巴巴,459,美团,北京三快科技有限公司,0,B轮,B,2011/7/1,2011,3.275,327500000,3,11,美团网是一个团购网站，提供超低折扣的生活消费服务，隶属于北京三快科技有限公司。2015年美团与点评合并，合并后改为新美大。  ,,,,,,,,,,,,,,,,,,,,,,,,生活服务
阿里巴巴,460,名鞋库,名鞋库网络科技有限公司,0,A轮,A,2011/6/30,2011,0.9825,98250000,2,6,"名鞋库是中国领先的鞋类电商，福建省最大的在线零售商，,一是通过电商平台自营销售，二是为品牌公司提供代运营服务。  ",,,,,,,,,,,,,,,,,,,,,,,,电子商务
阿里巴巴,461,CNZZ,浙江阿里巴巴云计算有限公司,0,并购,Merger,2011/5/4,2011,0.9825,98250000,2,3,CNZZ数据是一家中文网站统计分析服务商，CNZZ目前旗下有七大产品，分别为：站长统计、全景统计、手机客户端、云推荐、广告管家、广告效果分析和数据中心。  ,,,,,,,,,,,,,,,,,,,,,,,,企业服务
阿里巴巴,462,宝尊电商,上海宝尊电子商务有限公司,0,B轮,B,2011/3/1,2011,3.275,327500000,3,6,宝尊电商是一家第三方电子商务服务商，致力于帮助品牌和零售商提供电商代运营服务，目前提供从前端到后端的全套电商服务，包括网站搭建、更新及托管，IT设施搭建，客户服务，仓储物流服务以及数字营销等。  ,,,,,,,,,,,,,,,,,,,,,,,,电子商务
阿里巴巴,463,淘巧科技,杭州淘巧信息技术有限公司,0,A轮,A,2011/2/5,2011,0.1,10000000,2,6,杭州淘巧信息技术有限公司是一家电子商务软件技术开发商。  ,,,,,,,,,,,,,,,,,,,,,,,,电子商务
阿里巴巴,464,正和岛,北京正和岛信息科技有限公司,0,A轮,A,2011/1/31,2011,0.5,50000000,2,5,正和岛是安全可信赖的企业家互助与成长平台，是国内第一家专注企业家人群的实名制、会员制、收费制、邀请制的高端网络社交平台。  ,,,,,,,,,,,,,,,,,,,,,,,,社交社区
阿里巴巴,467,百世物流,杭州百世网络技术有限公司,0,C轮,C,2010/11/25,2010,3.275,327500000,3,19,百世物流成立于2007年，致力于通过全面的综合服务和增强技术、服务质量的经验，最大限度的发挥企业和消费者在生态系统中的长期价值。是中国领先和增长最快的智能供应链服务提供商。隶属于杭州百世网络技术有限公司。  ,,,,,,,,,,,,,,,,,,,,,,,,物流运输
阿里巴巴,468,一达通,深圳市一达通企业服务有限公司,0,并购,Merger,2010/11/1,2010,1,100000000,3,3,一达通是一家面向中小企业的进出口流程外包服务平台，主要通过互联网（IE+IT）一站式为中小企业和个人提供通关、物流、外汇，退税、金融等所有进出口环节服务。  ,,,,,,,,,,,,,,,,,,,,,,,,企业服务
阿里巴巴,473,淘淘搜,杭州淘淘搜科技有限公司,0,天使轮,Angel/Seed,2010/4/1,2010,0.03,3000000,1,6,淘淘搜是国内领先的购物搜索，通过先进的图像搜索和大数据能力，能够在海量商品中，帮助用户更快地找到心仪的商品。支持全网比价，时尚不败家！还有传图找商品的特色服务，也可以逛一逛淘淘搜为自己个性化推荐的精选商品、优惠活动、购物经验！  ,,,,,,,,,,,,,,,,,,,,,,,,电子商务
阿里巴巴,475,星晨急便,北京星晨急便速递有限公司,0,A轮,A,2010/3/1,2010,0.7,70000000,2,19,星晨急便是一家专业定位于电子商务B2C、B2B服务的全国性快递公司，为广大企业及电子商务客户提供国内小件包裹速递服务2011年10月，北京星晨急便速递有限公司和深圳鑫飞鸿快递有限公司于正式合并，商号为“星晨急便·鑫飞鸿”。   ,,,,,,,,,,,,,,,,,,,,,,,,物流运输
阿里巴巴,476,宝尊电商,上海宝尊电子商务有限公司,0,A轮,A,2010/1/1,2010,0.3275,32750000,2,6,宝尊电商是一家第三方电子商务服务商，致力于帮助品牌和零售商提供电商代运营服务，目前提供从前端到后端的全套电商服务，包括网站搭建、更新及托管，IT设施搭建，客户服务，仓储物流服务以及数字营销等。  ,,,,,,,,,,,,,,,,,,,,,,,,电子商务
阿里巴巴,477,阿里通信,阿里巴巴云计算（北京）有限公司,0,并购,Merger,2009/9/28,2009,4.34999999,434999999,3,14,阿里通信隶属阿里巴巴集团，致力于将传统通信业务和能力与互联网相结合，为消费者和企业提供创新型通信服务，是互联网通信服务提供商。 目前阿里通信拥有多样性的互联网通信服务能力和平台，包括：天猫营业厅、阿里大于通信能力平台、流量钱包、阿里通信IoT连接解决方案、170业务等。  ,,,,,,,,,,,,,,,,,,,,,,,,电信/通信
阿里巴巴,478,UC浏览器,广州市动景计算机科技有限公司,0,B轮,B,2009/6/1,2009,3.275,327500000,3,12,UC优视是一家移动互联网公司，旗下有UC浏览器、九游、UC云等产品，隶属于广州市动景计算机科技有限公司。  ,,,,,,,,,,,,,,,,,,,,,,,,工具软件
阿里巴巴,479,商派云起,上海商派网络科技有限公司,0,A+轮,A,2009/5/1,2009,0.131,13100000,2,6,商派（Shopex）是中国领先的电子商务服务和技术供应商。商派致力于为企业提供立体化的服务和技术，从前端到后端，从直销到分销，从PC到移动，从线上到线下，帮助各种类型（大中小微）的企业纵向打通资源、横向整合业务。隶属于上海商派网络科技有限公司。  ,,,,,,,,,,,,,,,,,,,,,,,,电子商务
阿里巴巴,480,猫爪电竞,江苏猎宝网络科技股份有限公司,0,天使轮,Angel/Seed,2009/3/1,2009,0.5,50000000,2,2,猫爪电竞是国内首创专业的电竞服务平台，以房间的组队形式，让电竞玩家可以通过平台，有机会找到更合适、更专业队友。同时，猫爪电竞还汇集了国内顶尖高手加入，通过强带新，新变强，强再带新的良性循环，提高国内玩家的电子竞技水平。  ,,,,,,,,,,,,,,,,,,,,,,,,游戏
阿里巴巴,481,百世物流,杭州百世网络技术有限公司,0,A轮,A,2008/6/18,2008,0.9825,98250000,2,19,百世物流成立于2007年，致力于通过全面的综合服务和增强技术、服务质量的经验，最大限度的发挥企业和消费者在生态系统中的长期价值。是中国领先和增长最快的智能供应链服务提供商。隶属于杭州百世网络技术有限公司。  ,,,,,,,,,,,,,,,,,,,,,,,,物流运输
阿里巴巴,482,百世物流,杭州百世网络技术有限公司,0,天使轮,Angel/Seed,2008/5/1,2008,0.15,15000000,2,19,百世物流成立于2007年，致力于通过全面的综合服务和增强技术、服务质量的经验，最大限度的发挥企业和消费者在生态系统中的长期价值。是中国领先和增长最快的智能供应链服务提供商。隶属于杭州百世网络技术有限公司。  ,,,,,,,,,,,,,,,,,,,,,,,,物流运输
