投资方,年份,行业,数量,平均数
阿里巴巴,2017,3,11,598318000
腾讯,2017,3,7,150911250
阿里巴巴,2017,4,2,1500000000
腾讯,2017,4,7,1173820833
腾讯,2017,5,10,246900000
阿里巴巴,2017,6,3,327500000
腾讯,2017,6,6,2985560000
腾讯,2017,7,5,705000000
腾讯,2017,8,7,435200000
阿里巴巴,2017,9,3,213666666.7
腾讯,2017,9,6,1001116667
阿里巴巴,2017,10,4,3389625000
腾讯,2017,10,5,3954562500
阿里巴巴,2017,11,3,1560000000
腾讯,2017,11,3,13165500000
腾讯,2017,12,4,50000000
阿里巴巴,2017,13,5,782750000
腾讯,2017,13,2,164250000
阿里巴巴,2017,14,2,39074500000
腾讯,2017,14,4,19687500000
腾讯,2017,15,1,0
阿里巴巴,2017,16,1,0
腾讯,2017,16,1,480000000
阿里巴巴,2017,17,6,10433500000
腾讯,2017,17,3,1739050000
阿里巴巴,2017,19,3,5300000000
阿里巴巴,2017,20,1,0
腾讯,2017,20,1,3000000000
阿里巴巴,2017,21,1,500000000
腾讯,2017,22,3,12000000
阿里巴巴,2018,1,10,4368571429
腾讯,2018,1,41,1065577733
阿里巴巴,2018,2,1,0
腾讯,2018,2,14,1503500000
阿里巴巴,2018,3,7,1270000000
腾讯,2018,3,9,502201040
阿里巴巴,2018,4,5,7150000000
腾讯,2018,4,11,995600000
阿里巴巴,2018,5,3,1037500000
腾讯,2018,5,8,1247833333
阿里巴巴,2018,6,2,2000000000
腾讯,2018,6,12,3958872222
阿里巴巴,2018,7,1,16375000000
腾讯,2018,7,4,299125000
腾讯,2018,8,10,897968750
腾讯,2018,9,13,2733682857
阿里巴巴,2018,10,3,3886066667
腾讯,2018,10,3,352500000
阿里巴巴,2018,11,4,21308333333
腾讯,2018,11,4,4816433333
阿里巴巴,2018,12,2,163750000
腾讯,2018,12,2,100000000
阿里巴巴,2018,13,7,1160750000
腾讯,2018,13,8,1399714667
阿里巴巴,2018,14,4,600000000
腾讯,2018,14,2,61007400
腾讯,2018,15,4,4000000
腾讯,2018,16,1,0
阿里巴巴,2018,17,4,5655333333
腾讯,2018,17,3,1498750000
阿里巴巴,2018,18,1,500000000
腾讯,2018,18,4,699900000
阿里巴巴,2018,19,3,9039000000
腾讯,2018,19,1,12445000000
阿里巴巴,2018,20,3,6827500000
腾讯,2018,20,4,12833333333
阿里巴巴,2018,22,2,2015000000
腾讯,2018,22,7,1210462500
阿里巴巴,2019,1,2,7110025000
腾讯,2019,1,16,164821428.6
腾讯,2019,2,3,0
阿里巴巴,2019,3,6,5054666667
腾讯,2019,3,16,479190909.1
阿里巴巴,2019,4,3,1100000000
腾讯,2019,4,6,268625000
腾讯,2019,5,5,1166666667
阿里巴巴,2019,6,3,4585000000
腾讯,2019,6,7,867667100
阿里巴巴,2019,7,4,4005000000
腾讯,2019,7,11,643437500
阿里巴巴,2019,8,1,982500000
腾讯,2019,8,7,423625000
阿里巴巴,2019,9,1,0
腾讯,2019,9,1,19650000000
阿里巴巴,2019,10,3,2886833333
腾讯,2019,10,5,2635875000
阿里巴巴,2019,11,2,19650000000
腾讯,2019,11,3,500000000
阿里巴巴,2019,12,1,0
腾讯,2019,12,3,209000000
阿里巴巴,2019,13,3,2650166667
腾讯,2019,13,2,1150000000
阿里巴巴,2019,14,1,0
腾讯,2019,14,2,500000000
腾讯,2019,15,3,2456250000
阿里巴巴,2019,16,1,18100000
腾讯,2019,16,3,500000000
阿里巴巴,2019,17,3,150000000
腾讯,2019,17,1,0
腾讯,2019,18,3,377500000
阿里巴巴,2019,19,4,23300000000
腾讯,2019,19,1,100000000
阿里巴巴,2019,20,5,1853133333
腾讯,2019,20,2,5567500000
腾讯,2019,22,2,3275000000
阿里巴巴,2020,1,2,6200000000
