投资方,年份,行业,数量,平均数
腾讯,2016,4,7,2162635833
阿里巴巴,2016,5,3,313083333.3
腾讯,2016,5,17,121921346.2
阿里巴巴,2016,6,8,6134452500
腾讯,2016,6,8,730500000
阿里巴巴,2016,7,1,0
腾讯,2016,7,8,302021428.6
阿里巴巴,2016,8,1,4000000
腾讯,2016,8,4,200500000
阿里巴巴,2016,9,2,42500000
腾讯,2016,9,9,565862499.8
阿里巴巴,2016,10,4,9768750000
腾讯,2016,10,6,6064200000
阿里巴巴,2016,11,3,2743416667
腾讯,2016,11,3,7243966667
阿里巴巴,2016,12,3,0
腾讯,2016,12,5,638625000
阿里巴巴,2016,13,2,200000000
腾讯,2016,13,2,98250000
阿里巴巴,2016,14,1,50000000
腾讯,2016,14,2,5000000
阿里巴巴,2016,15,2,27500000
腾讯,2016,15,2,1318750000
腾讯,2016,16,2,19650000
阿里巴巴,2016,17,4,487500000
阿里巴巴,2016,19,3,663750000
腾讯,2016,19,3,425051333.3
阿里巴巴,2016,20,1,5000000
腾讯,2016,20,1,6400000000
阿里巴巴,2016,21,2,2659300000
腾讯,2016,21,1,327500000
阿里巴巴,2016,22,2,108075000
腾讯,2016,22,8,108633071.4
阿里巴巴,2017,1,4,20000000
腾讯,2017,1,37,144765909.1
阿里巴巴,2017,2,1,1000000000
腾讯,2017,2,9,542027500
阿里巴巴,2017,3,12,556171200
腾讯,2017,3,9,122222500
阿里巴巴,2017,4,8,741326785.7
腾讯,2017,4,8,1011044643
腾讯,2017,5,11,262157142.9
阿里巴巴,2017,6,7,3083740000
腾讯,2017,6,7,4016300000
阿里巴巴,2017,7,1,3288099999
腾讯,2017,7,8,426100000
腾讯,2017,8,9,386650000
阿里巴巴,2017,9,3,213666666.7
腾讯,2017,9,6,1001116667
阿里巴巴,2017,10,4,3389625000
腾讯,2017,10,10,6126706250
阿里巴巴,2017,11,4,1083333333
腾讯,2017,11,3,13165500000
阿里巴巴,2017,12,1,0
腾讯,2017,12,5,61025000
阿里巴巴,2017,13,6,532750000
腾讯,2017,13,4,265525000
阿里巴巴,2017,14,2,39074500000
腾讯,2017,14,4,19687500000
腾讯,2017,15,1,0
阿里巴巴,2017,16,1,0
腾讯,2017,16,2,328425000
阿里巴巴,2017,17,8,7268756667
腾讯,2017,17,3,1739050000
腾讯,2017,18,1,1965000000
阿里巴巴,2017,19,3,5300000000
阿里巴巴,2017,20,1,0
腾讯,2017,20,1,3000000000
阿里巴巴,2017,21,5,187770000
腾讯,2017,21,1,19650000
腾讯,2017,22,4,22375000
阿里巴巴,2018,1,10,4368571429
腾讯,2018,1,46,1794442947
阿里巴巴,2018,2,2,0
腾讯,2018,2,19,1349767980
阿里巴巴,2018,3,11,882036666.7
腾讯,2018,3,9,502201040
阿里巴巴,2018,4,8,4307187500
腾讯,2018,4,15,933738888.9
阿里巴巴,2018,5,3,1037500000
腾讯,2018,5,8,1247833333
阿里巴巴,2018,6,11,5047552500
腾讯,2018,6,12,3958872222
阿里巴巴,2018,7,3,16375000000
腾讯,2018,7,6,226688750
阿里巴巴,2018,8,1,0
腾讯,2018,8,10,897968750
阿里巴巴,2018,9,1,6550000000
腾讯,2018,9,13,2733682857
阿里巴巴,2018,10,7,2084950000
腾讯,2018,10,6,15468000000
阿里巴巴,2018,11,7,13053550000
腾讯,2018,11,6,4461860000
阿里巴巴,2018,12,2,163750000
腾讯,2018,12,3,541250000
阿里巴巴,2018,13,7,1160750000
腾讯,2018,13,8,1399714667
阿里巴巴,2018,14,5,600000000
腾讯,2018,14,2,61007400
阿里巴巴,2018,15,2,45850000
腾讯,2018,15,4,4000000
阿里巴巴,2018,16,2,0
腾讯,2018,16,1,0
阿里巴巴,2018,17,6,4732750000
腾讯,2018,17,3,1498750000
阿里巴巴,2018,18,1,500000000
腾讯,2018,18,5,538025000
阿里巴巴,2018,19,4,4634125000
腾讯,2018,19,2,6255250000
阿里巴巴,2018,20,4,6827500000
腾讯,2018,20,4,12833333333
阿里巴巴,2018,21,3,524000000
阿里巴巴,2018,22,3,2015000000
腾讯,2018,22,7,1210462500
阿里巴巴,2019,1,2,7110025000
腾讯,2019,1,16,164821428.6
腾讯,2019,2,9,277099333.3
阿里巴巴,2019,3,7,3968750000
腾讯,2019,3,17,452904166.7
阿里巴巴,2019,4,5,405966666.7
腾讯,2019,4,15,995625000
腾讯,2019,5,9,837652500
阿里巴巴,2019,6,3,4585000000
腾讯,2019,6,8,2251389250
阿里巴巴,2019,7,4,4005000000
腾讯,2019,7,11,643437500
阿里巴巴,2019,8,1,982500000
腾讯,2019,8,8,353834000
阿里巴巴,2019,9,2,655000000
腾讯,2019,9,2,10187870000
阿里巴巴,2019,10,3,2886833333
腾讯,2019,10,6,3313900000
阿里巴巴,2019,11,3,19650000000
腾讯,2019,11,3,500000000
阿里巴巴,2019,12,2,13755000
腾讯,2019,12,3,209000000
阿里巴巴,2019,13,3,2650166667
腾讯,2019,13,3,819066666.7
阿里巴巴,2019,14,1,0
腾讯,2019,14,2,500000000
腾讯,2019,15,3,2456250000
阿里巴巴,2019,16,1,18100000
腾讯,2019,16,4,413750000
阿里巴巴,2019,17,4,566250000
腾讯,2019,17,1,0
腾讯,2019,18,3,377500000
阿里巴巴,2019,19,6,11657500000
腾讯,2019,19,1,100000000
阿里巴巴,2019,20,5,1853133333
腾讯,2019,20,2,5567500000
阿里巴巴,2019,21,3,255450000
腾讯,2019,22,4,1157166667
阿里巴巴,2020,1,2,6200000000
腾讯,2020,1,11,4807633333
腾讯,2020,2,19,1642411250
阿里巴巴,2020,3,3,286023333.3
腾讯,2020,3,19,761060714.3
阿里巴巴,2020,4,2,196500000
腾讯,2020,4,10,558231240
腾讯,2020,5,1,1506499999
阿里巴巴,2020,6,1,4257500000
腾讯,2020,6,6,5567500000
腾讯,2020,7,9,1146286250
腾讯,2020,8,10,2216875000
腾讯,2020,9,5,2451010000
阿里巴巴,2020,10,3,6310000000
